log_id,model,metric,accuracy,macro avg,weighted avg,1-Benz,2-Hex,3-Ethyl,4-Rose,5-Lem,6-Ger,7-Cit,8-Van
0,RandomForestClassifier,precision,0.7252747252747253,0.712675644610896,0.7513196636926542,0.8947368421052632,0.5454545454545454,0.4705882352941176,0.7931034482758621,0.7692307692307693,0.6190476190476191,0.7857142857142857,0.8235294117647058
0,RandomForestClassifier,recall,0.7252747252747253,0.7387617451195038,0.7252747252747253,0.5666666666666667,0.5714285714285714,0.8888888888888888,0.8518518518518519,0.7407407407407407,0.8666666666666667,0.4583333333333333,0.9655172413793104
0,RandomForestClassifier,f1-score,0.7252747252747253,0.7042007166726943,0.7205356932636581,0.6938775510204083,0.5581395348837208,0.6153846153846153,0.8214285714285715,0.7547169811320754,0.7222222222222222,0.5789473684210527,0.888888888888889
0,RandomForestClassifier,support,0.7252747252747253,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
1,RandomForestClassifier,precision,0.7087912087912088,0.6936883312921198,0.7345269912855074,0.8947368421052632,0.48,0.4375,0.7931034482758621,0.7307692307692307,0.631578947368421,0.7333333333333333,0.8484848484848485
1,RandomForestClassifier,recall,0.7087912087912088,0.711909893267652,0.7087912087912088,0.5666666666666667,0.5714285714285714,0.7777777777777778,0.8518518518518519,0.7037037037037037,0.8,0.4583333333333333,0.9655172413793104
1,RandomForestClassifier,f1-score,0.7087912087912088,0.6859046385568235,0.706978876285867,0.6938775510204083,0.5217391304347826,0.56,0.8214285714285715,0.7169811320754716,0.7058823529411765,0.5641025641025641,0.9032258064516128
1,RandomForestClassifier,support,0.7087912087912088,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
2,RandomForestClassifier,precision,0.7417582417582418,0.7244318321797771,0.7606830387247258,0.9090909090909092,0.5714285714285714,0.4705882352941176,0.7931034482758621,0.7692307692307693,0.6842105263157895,0.7692307692307693,0.8285714285714286
2,RandomForestClassifier,recall,0.7417582417582418,0.7503637566137566,0.7417582417582418,0.6666666666666666,0.5714285714285714,0.8888888888888888,0.8518518518518519,0.7407407407407407,0.8666666666666667,0.4166666666666667,1.0
2,RandomForestClassifier,f1-score,0.7417582417582418,0.7179607414372606,0.7356929985867539,0.7692307692307692,0.5714285714285714,0.6153846153846153,0.8214285714285715,0.7547169811320754,0.7647058823529413,0.5405405405405406,0.90625
2,RandomForestClassifier,support,0.7417582417582418,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
3,MostCommon,precision,0.0824175824175824,0.0103021978021978,0.0067926578915589,0.0,0.0,0.0,0.0,0.0,0.0824175824175824,0.0,0.0
3,MostCommon,recall,0.0824175824175824,0.125,0.0824175824175824,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,MostCommon,f1-score,0.0824175824175824,0.0190355329949238,0.0125509008757739,0.0,0.0,0.0,0.0,0.0,0.1522842639593908,0.0,0.0
3,MostCommon,support,0.0824175824175824,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
4,RandomSampler,precision,0.1043956043956044,0.0894476075454336,0.0897037365670906,0.0,0.1481481481481481,0.0,0.0,0.0869565217391304,0.1333333333333333,0.24,0.1071428571428571
4,RandomSampler,recall,0.1043956043956044,0.110583150884875,0.1043956043956044,0.0,0.1904761904761904,0.0,0.0,0.074074074074074,0.2666666666666666,0.25,0.1034482758620689
4,RandomSampler,f1-score,0.1043956043956044,0.0968256951903568,0.094817853110012,0.0,0.1666666666666666,0.0,0.0,0.0799999999999999,0.1777777777777777,0.2448979591836734,0.1052631578947368
4,RandomSampler,support,0.1043956043956044,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
5,RandomSampler,precision,0.1098901098901098,0.1137781717551454,0.1157871733529628,0.0526315789473684,0.0416666666666666,0.1111111111111111,0.1363636363636363,0.1071428571428571,0.1071428571428571,0.1666666666666666,0.1875
5,RandomSampler,recall,0.1098901098901098,0.1331195265462506,0.1098901098901098,0.0333333333333333,0.0476190476190476,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2,0.125,0.1034482758620689
5,RandomSampler,f1-score,0.1098901098901098,0.1123990857794844,0.1060311070040543,0.0408163265306122,0.0444444444444444,0.1666666666666666,0.1224489795918367,0.109090909090909,0.1395348837209302,0.1428571428571428,0.1333333333333333
5,RandomSampler,support,0.1098901098901098,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
6,RandomSampler,precision,0.1428571428571428,0.1430865268736629,0.1564496644091209,0.217391304347826,0.0,0.125,0.1363636363636363,0.2631578947368421,0.1034482758620689,0.0384615384615384,0.2608695652173913
6,RandomSampler,recall,0.1428571428571428,0.1556074393358876,0.1428571428571428,0.1666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.1851851851851851,0.2,0.0416666666666666,0.2068965517241379
6,RandomSampler,f1-score,0.1428571428571428,0.1396838222717163,0.1437922576867436,0.1886792452830188,0.0,0.1818181818181818,0.1224489795918367,0.217391304347826,0.1363636363636363,0.04,0.2307692307692307
6,RandomSampler,support,0.1428571428571428,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
7,RandomSampler,precision,0.12637362637362637,0.1259235209235209,0.14323533609247893,0.22727272727272727,0.13333333333333333,0.0,0.16666666666666666,0.1111111111111111,0.04,0.23809523809523808,0.09090909090909091
7,RandomSampler,recall,0.12637362637362637,0.11541632457580733,0.12637362637362637,0.16666666666666666,0.19047619047619047,0.0,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.20833333333333334,0.06896551724137931
7,RandomSampler,f1-score,0.12637362637362637,0.11803355957767722,0.13198456897551922,0.1923076923076923,0.1568627450980392,0.0,0.13333333333333333,0.1111111111111111,0.05,0.22222222222222224,0.0784313725490196
7,RandomSampler,support,0.12637362637362637,182.0,182.0,30.0,21.0,9.0,27.0,27.0,15.0,24.0,29.0
