time,pvalue,log_inverse_pvalue
t0,5.29465877894547e-38,85.83153499892235
t1,1.3691558337899678e-40,91.78920934955389
t2,1.3588268160431526e-42,96.40195221354826
t3,3.679607022813473e-44,100.01093813253829
t4,1.0660470188872499e-44,101.24978665919292
t5,6.966888569320116e-47,106.28033064886924
t6,9.786438547564337e-54,122.0585974160445
t7,1.3486077855766544e-64,147.06637316123653
t8,2.2547443778196666e-73,167.27567517998756
t9,7.059260976273354e-70,159.2266161411388
t10,1.6028699808876902e-56,128.47296944719292
t11,6.096270155829241e-49,111.01899242240474
t12,3.111837759607715e-52,118.59921136453539
t13,2.7328797643585397e-53,121.0316540167207
t14,2.508306714335098e-11,24.408828113249193
t15,6.273683852895229e-24,53.425678513397244
t16,1.4293931764984187e-31,71.02288788070544
t17,8.830886561552487e-35,78.41222284186898
t18,2.9356357899327643e-36,81.8161392944786
t19,1.476322279162132e-37,84.80609439211969
t20,2.033870643622654e-39,89.0908779282028
t21,9.898622636873765e-42,94.41617828587702
t22,5.807314260741028e-44,99.55462588924033
t23,5.671389881539433e-46,104.18348006100635
t24,4.1318835228035337e-48,109.10535110191425
t25,2.1080406729644407e-50,114.38349572463414
t26,7.114791076665285e-53,120.07483406135935
t27,1.2096109546394472e-55,126.4518813318555
t28,1.0371556418209773e-58,133.5134533871246
t29,4.811838013518798e-62,141.18919663111103
t30,1.2525326873333853e-65,149.44286339330526
t31,1.5859858979751537e-69,158.41716518498276
t32,1.2833406218541965e-73,167.83924524958297
t33,2.997941951462998e-77,176.20112612346918
t34,1.7610728039204285e-79,181.33829917549622
t35,7.13002643906977e-80,182.2424924969599
t36,1.3294586631708537e-78,179.31686541432938
t37,1.3639483883921922e-75,172.3834982542702
t38,2.0354156039113307e-70,160.47025648357408
t39,1.7567564526696915e-63,144.4993916744692
t40,5.449240277211222e-56,127.24928900738514
t41,2.332996345616464e-49,111.97951613005831
t42,1.425147676526018e-44,100.95946865073705
t43,9.046731770691382e-42,94.50617034357168
t44,2.0143718273120968e-40,91.40309632119897
t45,6.502288446718072e-40,90.23124953609603
t46,8.106212314762444e-40,90.01077299960136
t47,6.442441803907348e-40,90.24049608941193
t48,4.4667421212317135e-40,90.60674440880268
t49,2.9422194714625968e-40,91.02423950095553
t50,1.7323083038841628e-40,91.55394892091046
t51,7.183753956794416e-41,92.43416673111831
t52,1.8716921198753334e-41,93.77914591410503
t53,3.954527629439663e-42,95.33371274796183
t54,9.7966250907301e-43,96.72912105087626
t55,2.9933694180871778e-43,97.91475935013037
t56,7.675090606454404e-44,99.27576399293321
t57,1.2870165857425197e-44,101.06141727607223
t58,1.450960310676122e-45,103.24410356428741
t59,1.3080658390393762e-46,105.65036469030088
t60,1.1635911536533945e-47,108.06998832567683
t61,1.2178696009878804e-48,110.32698136010208
t62,1.8772393476365913e-49,112.19686729117763
t63,4.112925263489972e-50,113.71512013142143
t64,1.2939038767808564e-50,114.8715907401688
t65,5.902486615637844e-51,115.65646602029649
t66,3.559270633294572e-51,116.16228409711086
t67,1.7141197747395206e-51,116.89294004471749
t68,3.806282933399178e-52,118.39777173079875
t69,3.779489196343194e-53,120.70742106142679
t70,3.645488188806773e-54,123.04610473135716
t71,1.1020952125307431e-54,124.24238191492432
t72,1.2844086993797826e-54,124.08929656536029
t73,3.052324049537546e-54,123.22369173776622
t74,6.808860368520308e-54,122.42137026228755
t75,9.475264055550036e-54,122.09091040243867
t76,5.788857091141438e-54,122.58366014316348
t77,1.9367005599431965e-54,123.67860923880464
t78,4.866934645360555e-55,125.05971581202712
t79,1.0954347586447786e-55,126.55102879034527
t80,2.679900386616308e-56,127.9589855830076
t81,7.926813540626849e-57,129.17709916914268
t82,2.540445794998879e-57,130.31501072518813
t83,6.3573057987656015e-58,131.70033072259974
t84,1.0510641009158457e-58,133.5001323132145
t85,1.2823521033716578e-59,135.6038245142441
t86,1.3811591825718032e-60,137.8321824456947
t87,1.6921061466105354e-61,139.9317166790171
t88,2.440177238574959e-62,141.86820509020356
t89,3.4799446319022027e-63,143.815844475338
t90,4.847289375990205e-64,145.78702629445604
t91,7.339242796283648e-65,147.6747953685773
t92,1.17811251238238e-65,149.50411745258424
t93,2.8717941258402727e-66,150.91567917219365
t94,9.592728765944519e-67,152.012195839329
t95,2.878348515898404e-67,153.21598453290792
t96,6.5916345803858135e-68,154.68998496632514
t97,2.398918656705158e-68,155.7007682474799
t98,3.0081789027728883e-68,155.47445144362024
t99,1.7687034949654565e-67,153.70295444113634
t100,2.764845761952972e-66,150.9536312864841
t101,5.355132140334909e-65,147.98997566495143
t102,1.713420620501319e-63,144.52436912330572
t103,1.9033768231633566e-61,139.81406108860028
t104,5.686170461868062e-59,134.11448349464519
t105,1.0047248053728258e-56,128.94005152915224
t106,2.8906863242853497e-55,125.58068615829099
t107,1.94979728581129e-54,123.67186961050082
t108,1.0309166340878155e-53,122.00656158619356
t109,1.0726876796993708e-52,119.6642574864531
t110,1.6377942157960025e-51,116.93848939653991
t111,1.4094371993924316e-50,114.78606417436059
t112,5.007161228155105e-50,113.51838551632265
t113,1.0166665088263382e-49,112.81014041000982
t114,1.9177502436309993e-49,112.17551680581096
t115,4.419417540013704e-49,111.3406616475796
t116,1.004653952090914e-48,110.51944130777476
t117,2.2457666121942078e-48,109.71503752544452
t118,7.0300402052e-48,108.57389203881836
t119,4.857938513264549e-47,106.64088519702048
t120,4.847914767725838e-46,104.34036561002827
t121,3.666438154906979e-45,102.31710852393286
t122,1.6131683231061605e-44,100.83554394397487
t123,4.16602389247994e-44,99.88678201380287
t124,9.857983805620723e-44,99.02546242622137
t125,4.061839324487554e-43,97.6095230921319
t126,3.4802198384246334e-42,95.4614784419977
t127,3.782074485764213e-41,93.07571614790545
t128,3.264572719276759e-40,90.92027483258754
t129,1.3837522070505107e-39,89.47601982675056
t130,3.2274368632664774e-39,88.62913034533774
t131,6.57157818889074e-39,87.9180646117185
t132,2.1382010639492562e-38,86.73826868258551
t133,1.0994813652522431e-37,85.10080985829423
t134,4.643937379606891e-37,83.66008586118507
t135,7.10288855075462e-37,83.23514690133416
t136,2.6794627858216935e-37,84.21003211940193
t137,3.701429574235875e-38,86.18951441733067
t138,3.226032699902723e-39,88.62956551075447
t139,3.3746538988780237e-40,90.88711094917637
t140,3.9032276080526705e-41,93.04418501007717
t141,3.5395121320204607e-42,95.44458500391514
t142,3.1136761275209097e-43,97.87535493603302
t143,4.623602843166633e-44,99.78256985437535
t144,2.3508707087386043e-44,100.45895831784858
t145,2.373275001340766e-44,100.44947323337104
t146,1.3563324341654483e-44,101.00895977432698
t147,1.5538233402638735e-45,103.17561061990261
t148,7.131826717252437e-47,106.25693196752978
t149,7.49053027013167e-48,108.51044487161073
t150,7.37108257173683e-48,108.52651987932629
